GEOID,hispanic,total,h_share
24018,35831,127641,0.280717
24019,35054,132841,0.263879
24020,27738,128872,0.215237
24021,28812,129244,0.222927
24022,40456,135394,0.298802
24023,10470,133646,0.078341
24024,15205,137596,0.110505
24025,10300,129300,0.07966
24026,19774,132568,0.149161
24027,7177,134333,0.053427
24028,9480,140991,0.067238
24029,7622,136084,0.05601
24030,13107,129008,0.101598
24031,7099,128742,0.055141
24032,13310,135359,0.098331
24033,10334,134938,0.076583
24034,8788,135476,0.064868
24035,4812,135361,0.035549
24036,8172,133202,0.06135
24037,8242,136987,0.060166
24038,5862,134650,0.043535
24039,38230,126164,0.303018
24040,4005,125017,0.032036
24041,6020,134542,0.044744
24042,5126,114690,0.044694
24043,6836,136443,0.050102
24044,9001,120877,0.074464
24045,5662,125225,0.045215
24046,14280,112694,0.126715
24047,65063,137911,0.471775
23001,485,36908,0.013141
23002,540,40834,0.013224
23003,474,39974,0.011858
23004,480,39938,0.012019
23005,517,39939,0.012945
23006,1030,41109,0.025055
23007,542,38448,0.014097
23008,927,38652,0.023983
23009,962,38195,0.025187
23010,662,41622,0.015905
23011,656,39772,0.016494
23012,674,38931,0.017313
23013,567,38006,0.014919
23014,846,38768,0.021822
23015,663,37455,0.017701
23016,709,38823,0.018262
23017,581,38911,0.014932
23018,701,39438,0.017775
23019,528,39650,0.013317
23020,723,44806,0.016136
23021,915,32573,0.028091
23022,472,38623,0.012221
23023,1063,46450,0.022885
23024,753,38682,0.019466
23025,894,33733,0.026502
23026,806,38799,0.020774
23027,408,36110,0.011299
23028,1219,40552,0.03006
23029,850,36175,0.023497
23030,1214,40314,0.030114
23031,719,37894,0.018974
23032,737,38300,0.019243
23033,753,39542,0.019043
23034,921,39561,0.023281
23035,907,39462,0.022984
26001,52197,264182,0.19758
26002,20247,258839,0.078222
26003,5286,263458,0.020064
26004,14624,268552,0.054455
26005,10859,259336,0.041872
26006,8114,257430,0.031519
26007,19038,264772,0.071903
26008,6306,259883,0.024265
26009,8204,261552,0.031367
26010,4988,270950,0.018409
26011,6809,259208,0.026268
26012,7706,256978,0.029987
26013,8621,267192,0.032265
26014,10170,268960,0.037812
26015,15786,270813,0.058291
26016,14528,270522,0.053704
26017,15769,269938,0.058417
26018,12681,267813,0.04735
26019,14971,271252,0.055192
26020,22715,262532,0.086523
26021,22030,259757,0.08481
26022,7185,260798,0.02755
26023,12693,267691,0.047417
26024,9648,259144,0.03723
26025,10148,264170,0.038415
26026,12214,259357,0.047093
26027,10019,260685,0.038433
26028,13116,262306,0.050003
26029,47629,264319,0.180195
26030,18265,269118,0.06787
26031,30007,265055,0.11321
26032,17078,262310,0.065106
26033,12359,267972,0.04612
26034,9654,270086,0.035744
26035,21090,270259,0.078036
26036,5888,271107,0.021718
26037,6803,261199,0.026045
26038,4982,268418,0.018561
27001,4049,85088,0.047586
27002,2500,85847,0.029122
27003,1355,85298,0.015885
27004,3422,84647,0.040427
27005,3278,85709,0.038246
27006,1439,85249,0.01688
27007,885,85259,0.01038
27008,2395,84110,0.028475
27009,2808,84918,0.033067
27010,1601,86009,0.018614
27011,1985,85422,0.023238
27012,3775,85631,0.044085
27013,2145,88404,0.024264
27014,3675,82396,0.044602
27015,4511,85116,0.052998
27016,8892,85488,0.104015
27017,5097,84249,0.060499
27018,3904,84330,0.046294
27019,7681,85334,0.090011
27020,2691,84958,0.031674
27021,11955,84924,0.140773
27022,5172,85905,0.060206
27023,9277,84770,0.109437
27024,4231,83351,0.050761
27025,5121,85987,0.059556
27026,2131,85062,0.025052
27027,2212,86531,0.025563
27028,2287,85000,0.026906
27029,3093,86408,0.035795
27030,2339,86776,0.026954
27031,1664,85057,0.019563
27032,3706,87722,0.042247
27033,3572,82933,0.043071
27034,2518,83480,0.030163
27035,3887,84071,0.046235
27036,3959,85494,0.046307
27037,1903,85109,0.02236
27038,9110,85818,0.106155
27039,9760,83239,0.117253
27040,4088,86621,0.047194
27041,3786,92401,0.040974
27042,3690,85599,0.043108
27043,4563,83471,0.054666
27044,6500,82976,0.078336
27045,2378,86520,0.027485
27046,4260,83767,0.050855
27047,4447,86312,0.051522
27048,4127,85677,0.048169
27049,3610,83486,0.043241
27050,3230,84917,0.038037
27051,12988,85420,0.152049
27052,4977,84996,0.058556
27053,11927,83185,0.143379
27054,6334,86147,0.073525
27055,6656,81972,0.081198
27056,5307,88922,0.059682
27057,4129,85873,0.048083
27058,3844,83607,0.045977
27059,9155,89210,0.102623
27060,5806,81635,0.071121
27061,4782,81265,0.058845
27062,17023,86256,0.197354
27063,4983,82072,0.060715
27064,3479,80936,0.042985
27065,9452,83952,0.112588
27066,6061,85507,0.070883
27067,9482,81491,0.116356
29001,5144,178551,0.02881
29002,6460,181500,0.035592
29003,3165,177428,0.017838
29004,7525,185506,0.040565
29005,7198,178832,0.04025
29006,5607,181542,0.030885
29007,20991,172040,0.122012
29008,9809,182100,0.053866
29009,16696,183148,0.091161
29010,4512,181011,0.024927
29011,21079,178238,0.118263
29012,5366,186059,0.02884
29013,2839,186162,0.01525
29014,10052,188176,0.053418
29015,6612,184926,0.035755
29016,9400,176067,0.053389
